order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
2807d0e504d6d4894d41672727bc139f,72ae281627a6102d9b3718528b420f8a,delivered,3/2/2018 20:37,3/2/2018 20:50,5/2/2018 22:37,8/2/2018 16:13,21/2/2018 0:00
d887b52c6516beb39e8cd44a5f8b60f7,d9ef95f98d8da3b492bb8c0447910498,delivered,3/2/2018 12:38,3/2/2018 12:50,5/2/2018 21:26,22/2/2018 0:07,7/3/2018 0:00
138849fd84dff2fb4ca70a0a34c4aa1c,9b18f3fc296990b97854e351334a32f6,delivered,1/2/2018 14:02,3/2/2018 2:53,6/2/2018 19:13,14/2/2018 13:41,23/2/2018 0:00
66d03fb3c4b0f80b5db04ef9c260336d,c39bde0d4030d5e31e654f0c20db9786,delivered,6/2/2018 21:09,6/2/2018 21:29,7/2/2018 17:13,16/2/2018 20:24,7/3/2018 0:00
4da3bd761ca73d692ae0f5c252495546,65ee4aa816cda8ad41e05c75e1cb691e,delivered,1/2/2018 12:31,1/2/2018 12:54,2/2/2018 0:39,2/2/2018 16:12,19/2/2018 0:00
8eeda294fab8a5ed70259afb59a10ff8,6feea03756fd7ef4fb37d8f7e44aaeb9,delivered,6/2/2018 18:25,7/2/2018 2:35,7/2/2018 22:15,14/2/2018 19:07,8/3/2018 0:00
b2bd1f09c1b8a4a36940f6f6e49d5dec,8ed14e450a6268ec13f325e7c2eafeed,delivered,2/2/2018 16:15,2/2/2018 16:36,6/2/2018 1:28,20/2/2018 18:09,7/3/2018 0:00
258f2e5dd769d9314b349f5650005dcc,148ecba880f508ca2d5b6744b6a7b6c5,delivered,3/2/2018 10:51,3/2/2018 11:10,6/2/2018 18:49,23/2/2018 20:59,13/3/2018 0:00
9ceb8ab5165cefecdddb546cb5a6362b,eb1c0e1ca3e17eccaefb7f0d4dc659b1,delivered,5/2/2018 17:27,6/2/2018 17:32,7/2/2018 23:34,18/2/2018 14:28,6/3/2018 0:00
f31535f21d145b2345e2bf7f09d62322,ed532487db04478dfba09d112649fc13,delivered,1/2/2018 7:47,1/2/2018 8:10,2/2/2018 0:24,23/4/2018 15:49,5/3/2018 0:00
